x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
1.0,0.2842998017042714,1.0,0.3472682816707948,1.0,0.3525239667448984,1.0,0.31274511679516365,1.0,0.26417212227295844,1.0,0.20410912502534914,1.0,0.1207973198517114
2.0,0.22421708916161995,2.0,0.23502348104505755,2.0,0.24050678229046502,2.0,0.22115991658854814,2.0,0.20659554039800748,2.0,0.17740950632113084,2.0,0.12932790047540396
3.0,0.1632188220161852,3.0,0.1618236680031414,3.0,0.15633875651378337,3.0,0.15222350825505537,3.0,0.15315622369186405,3.0,0.14598213191363238,3.0,0.1276328765318909
4.0,0.11640495203387105,4.0,0.10650569618039547,4.0,0.10126894466764788,4.0,0.10773660347037554,4.0,0.11623801316656686,4.0,0.11976052574693638,4.0,0.11960664352329271
5.0,0.07678600139342945,5.0,0.06342266834971336,5.0,0.06107243724889614,5.0,0.07089016854469973,5.0,0.08165937878662442,5.0,0.09138953453389878,5.0,0.1041261181005333
6.0,0.051780195437411795,6.0,0.03733120514834234,6.0,0.03660447909622499,6.0,0.04790180023339902,6.0,0.05703899544449259,6.0,0.06953578185691714,6.0,0.08798699441751316
7.0,0.03138789145541919,7.0,0.020622621292236472,7.0,0.021496479573570947,7.0,0.03104733025960858,7.0,0.03899006862828371,7.0,0.05233513024448837,7.0,0.07117887355433349
8.0,0.019588402379548744,8.0,0.01181206261188074,8.0,0.0126377341978599,8.0,0.019932180367699108,8.0,0.02672234628522401,8.0,0.038444910447860976,8.0,0.057455765594480256
9.0,0.012357754077567572,9.0,0.006772461201428258,9.0,0.00704880862405028,9.0,0.012738899198408295,9.0,0.017918830900037954,9.0,0.02833979225953964,9.0,0.04462523159261191
10.0,0.007136859781696054,10.0,0.0038758827251366415,10.0,0.00416086558733442,10.0,0.008066136098410209,10.0,0.011917215990400857,10.0,0.020189065658197638,10.0,0.03426964052667063
11.0,0.004653697054147239,11.0,0.0021811776451548287,11.0,0.0023946855483511676,11.0,0.005497790361768476,11.0,0.008178839952993443,11.0,0.014597767492027553,11.0,0.02628500319766787
12.0,0.002934240848920092,12.0,0.0013004397330442054,12.0,0.0014002148056804168,12.0,0.0035105507834171912,12.0,0.005519937467946409,12.0,0.010489533865349773,12.0,0.01983940601369538
13.0,0.001862372045661611,13.0,0.0006772461201428258,13.0,0.0009069573173157246,13.0,0.00219528993131947,13.0,0.003642685652785827,13.0,0.007551260994845487,13.0,0.014711005350244288
14.0,0.0012415813637744074,14.0,0.0004737543281750284,14.0,0.0005171247861887903,14.0,0.001348740219242027,14.0,0.002456769987194691,14.0,0.005503272547372268,14.0,0.011206569344330768
15.0,0.0007860371223895529,15.0,0.0002861603324547151,15.0,0.0003261864035960062,15.0,0.0010498172983107268,15.0,0.0017439303804069098,15.0,0.004010179772827049,15.0,0.008223812486676384
16.0,0.00042428140128981544,16.0,0.0002098509104667911,16.0,0.00023867297824098016,16.0,0.0005667578580857455,16.0,0.0011310818496843831,16.0,0.0027666786262655076,16.0,0.0060088425482206585
17.0,0.0002590349607874663,17.0,9.220721823540821e-05,17.0,0.0001392259039739051,17.0,0.0004017524057316677,17.0,0.0008010037813829518,17.0,0.001991161782173364,17.0,0.004428206723594976
18.0,0.00020990764063811922,18.0,9.538677748490504e-05,18.0,0.0001352480210032221,18.0,0.0002630521704195443,18.0,0.0005612402333985246,18.0,0.0014964355195628582,18.0,0.0032340640885433368
19.0,0.00013844972042088716,19.0,5.405250724144619e-05,19.0,9.149130832570906e-05,19.0,0.00020326758623328422,19.0,0.00038813740279093373,19.0,0.0010763638956796135,19.0,0.002471476629294104
20.0,7.145792021723208e-05,20.0,5.0872947991949355e-05,20.0,6.762401050161104e-05,20.0,0.000172179602456429,20.0,0.00030642426536126347,20.0,0.0007654886090392283,20.0,0.001828476748881683
21.0,5.8059560176501066e-05,21.0,3.497515174446518e-05,21.0,4.3756712677513025e-05,21.0,8.84811845956649e-05,21.0,0.0002247111279315932,21.0,0.0005281537127868911,21.0,0.0013206628271543528
22.0,3.572896010861604e-05,22.0,2.2256914746477843e-05,22.0,1.9889414853415013e-05,22.0,7.652426775841288e-05,22.0,0.00014944902766742324,22.0,0.00043901384564986305,22.0,0.0009116386444661281
