x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
1.0,0.07202559749249053,1.0,0.14495144422310757,1.0,0.1462652484826633,1.0,0.14032803040968606,1.0,0.11077100115074799,1.0,0.08924653754525755,1.0,0.0647230644981889
2.0,0.10963823951939401,2.0,0.19447211155378485,2.0,0.20185085030947658,2.0,0.1766155145713079,2.0,0.15940928270042193,2.0,0.1365095495107474,2.0,0.1085665510854479
3.0,0.12452657698837664,3.0,0.17648157370517928,3.0,0.1737876329547503,3.0,0.15820779952132902,3.0,0.15612581511315687,3.0,0.14352531057781606,3.0,0.12265391888036135
4.0,0.13549693091289017,4.0,0.14348854581673307,4.0,0.1421188630490956,4.0,0.13455582148388004,4.0,0.1336862293824319,4.0,0.1314117662893522,4.0,0.12351715099549765
5.0,0.1175395063340734,5.0,0.10806772908366534,5.0,0.1076858361877291,5.0,0.10397015345628607,5.0,0.10908323743766782,5.0,0.11202000080756962,5.0,0.1117728417988113
6.0,0.11081363458273476,6.0,0.07965014940239044,6.0,0.07613725136710535,6.0,0.08376742221596509,6.0,0.08713463751438436,6.0,0.09106356918852712,6.0,0.09750654073633458
7.0,0.08626093770406164,7.0,0.0510769422310757,7.0,0.05204014181840034,7.0,0.05997465859495987,7.0,0.06618335251246643,7.0,0.07246254895890816,7.0,0.08060943703725197
8.0,0.06667101998171608,8.0,0.035887699203187254,8.0,0.0319091400757166,8.0,0.044101084048993384,8.0,0.04959723820483314,8.0,0.056307791700876214,8.0,0.06676387095526184
9.0,0.053088677027556486,9.0,0.02409113545816733,9.0,0.02277507361336458,9.0,0.029952132901590878,9.0,0.036256233218258535,9.0,0.04333620469197949,9.0,0.052768387811259254
10.0,0.03689434504375082,10.0,0.015375996015936255,10.0,0.01412174749113635,10.0,0.020589891595100662,10.0,0.025646336785577293,10.0,0.031932648693756144,10.0,0.040878997586818906
11.0,0.026511688650907667,11.0,0.009088645418326694,11.0,0.009674899344991286,11.0,0.016049556525411797,11.0,0.019294207901802838,11.0,0.02381657402048535,11.0,0.0319299161915263
12.0,0.017369727047146403,12.0,0.005758217131474104,12.0,0.006009254251547383,12.0,0.009995776432493313,12.0,0.013118527042577675,12.0,0.017971788901301532,12.0,0.024634758512629303
13.0,0.014235340211571112,13.0,0.0032059262948207173,13.0,0.0048674959437533805,13.0,0.007074475573701253,13.0,0.009290372075182202,13.0,0.01307253321130059,13.0,0.018444634661791946
14.0,0.01005615776413739,14.0,0.0021787848605577687,14.0,0.002583979328165375,14.0,0.003977192735463889,14.0,0.006919831223628692,14.0,0.009737943658559565,14.0,0.01426146502821826
15.0,0.006529972574115189,15.0,0.001711902390438247,15.0,0.0018628688179796887,15.0,0.00330846121357173,15.0,0.00491752972765631,15.0,0.007335424041347564,15.0,0.01048694028948501
16.0,0.003526185190022202,16.0,0.001462898406374502,16.0,0.0015624061054023196,16.0,0.001759819794453048,16.0,0.003222094361334868,16.0,0.005138161702356757,16.0,0.0079117520468515
17.0,0.0022201906751991643,17.0,0.00049800796812749,17.0,0.0011417583077940028,17.0,0.0017246233985639872,17.0,0.00237054085155351,17.0,0.0037148202484622527,17.0,0.005810495161547725
18.0,0.0020242914979757085,18.0,0.0008092629482071714,18.0,0.0009614806802475813,18.0,0.0007039279177812192,18.0,0.0017568085922516302,18.0,0.0029812778443274964,18.0,0.0043355047127153845
19.0,0.0013059945148230377,19.0,0.0004357569721115538,19.0,0.0006610179676702122,19.0,0.0009151062931155849,19.0,0.0012428078250863062,19.0,0.0020593025290388577,19.0,0.0032981753642742804
20.0,0.0006529972574115189,20.0,0.0004357569721115538,20.0,0.000721110510185686,20.0,0.0007391243136702801,20.0,0.0008899117759877253,20.0,0.0015444768967791433,20.0,0.002434943249137977
21.0,0.000587697531670367,21.0,0.00028012948207171317,21.0,0.0004206477976083168,21.0,0.0003519639588906096,21.0,0.000713463751438435,21.0,0.001053205378413664,21.0,0.0018062587955373075
22.0,0.00039179835444691133,22.0,6.225099601593625e-05,22.0,0.00012018508503094766,22.0,0.0003519639588906096,22.0,0.0004986574606827771,22.0,0.0009219753152886388,22.0,0.0012331887359090053
23.0,0.0002611989029646076,23.0,0.0002178784860557769,23.0,0.00012018508503094766,23.0,0.0002815711671124877,23.0,0.0004219409282700422,23.0,0.0007099882902405211,23.0,0.0009115924577209705
24.0,0.0004570980801880632,24.0,3.112549800796813e-05,24.0,0.0001802776275464215,24.0,0.00014078558355624384,24.0,0.00030686612965093976,24.0,0.0004744471512981682,24.0,0.0007374952244161698
25.0,0.00019589917722345567,25.0,3.112549800796813e-05,26.0,6.009254251547383e-05,25.0,0.00014078558355624384,25.0,0.0002454929037207518,25.0,0.00034321708817314293,25.0,0.00048602144297590205
26.0,0.00019589917722345567,26.0,3.112549800796813e-05,27.0,0.00012018508503094766,26.0,7.039279177812192e-05,26.0,0.00017644802454929036,26.0,0.0003028386072115967,26.0,0.0003627025693850015
27.0,0.0001305994514823038,27.0,9.337649402390438e-05,28.0,6.009254251547383e-05,27.0,3.519639588906096e-05,27.0,0.0001457614115841964,27.0,0.00019179778456734458,27.0,0.0002683999013449011
28.0,0.0001305994514823038,30.0,6.225099601593625e-05,32.0,0.00012018508503094766,28.0,7.039279177812192e-05,28.0,0.0001227464518603759,28.0,0.00020525727822119332,28.0,0.00023938369579410101
29.0,6.52997257411519e-05,34.0,3.112549800796813e-05,35.0,6.009254251547383e-05,32.0,7.039279177812192e-05,29.0,6.904487917146145e-05,29.0,0.00015141930360579835,29.0,0.00014024499349553392
30.0,6.52997257411519e-05,44.0,3.112549800796813e-05,0.0,0.0,34.0,3.519639588906096e-05,30.0,0.0001380897583429229,30.0,7.402721509616808e-05,30.0,0.0001281549078493672
31.0,6.52997257411519e-05,0.0,0.0,0.0,0.0,35.0,7.039279177812192e-05,31.0,3.835826620636747e-05,31.0,0.00010094620240386556,31.0,0.00010639275368626712
33.0,6.52997257411519e-05,0.0,0.0,0.0,0.0,36.0,3.519639588906096e-05,32.0,3.835826620636747e-05,32.0,8.748670875001683e-05,32.0,8.221258239393368e-05
0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.519639588906096e-05,33.0,3.0686612965093976e-05,33.0,5.047310120193278e-05,33.0,7.012249674776696e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.835826620636747e-05,34.0,3.701360754808404e-05,34.0,4.352430832620018e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.3014959723820482e-05,36.0,2.0189240480773115e-05,35.0,1.4508102775400062e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.3014959723820482e-05,37.0,1.6824367067310927e-05,36.0,1.2090085646166718e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.5343306482546988e-05,38.0,1.6824367067310927e-05,37.0,9.672068516933373e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,7.671653241273494e-06,40.0,3.3648734134621854e-06,38.0,7.254051387700031e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.5343306482546988e-05,41.0,1.6824367067310927e-05,39.0,7.254051387700031e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.5343306482546988e-05,42.0,6.729746826924371e-06,40.0,1.2090085646166718e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0094620240386557e-05,41.0,2.4180171292333433e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3.3648734134621854e-06,42.0,4.836034258466687e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.3648734134621854e-06,43.0,2.4180171292333433e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3.3648734134621854e-06,50.0,2.4180171292333433e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,3.3648734134621854e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,3.3648734134621854e-06,0.0,0.0
