x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
1.0,0.2986176506530756,1.0,0.36537104689631383,1.0,0.3945451059342345,1.0,0.4109181481650747,1.0,0.35601568894668834,1.0,0.2929066518751236,1.0,0.1824175366359183
2.0,0.22037078304375643,2.0,0.23407391147556406,2.0,0.2435391758083734,2.0,0.23365933915268955,2.0,0.22798623893235387,2.0,0.20897676924510844,2.0,0.15948645486517357
3.0,0.15847776236243,3.0,0.15626355592488644,3.0,0.14686305928756316,3.0,0.13944975092546044,3.0,0.14640039222366721,3.0,0.15027813708395943,3.0,0.1360450219937022
4.0,0.11102644650674641,4.0,0.10179421648714049,4.0,0.09106783351822179,4.0,0.08823179927791235,4.0,0.09970957167014986,4.0,0.10953167943877005,4.0,0.11617604682731732
5.0,0.07464542703308868,5.0,0.06038560236650517,5.0,0.053371132749907554,5.0,0.05064667976783511,5.0,0.062406774168082796,5.0,0.07494811214596343,5.0,0.09504334512579982
6.0,0.05080115878686804,6.0,0.035623010708854014,6.0,0.030533985236314832,6.0,0.03155248846030803,6.0,0.040015954861038976,6.0,0.052167468759306286,6.0,0.07561528553623319
7.0,0.03202478596228911,7.0,0.019499626313781444,7.0,0.01739320980045743,7.0,0.018742287829623873,7.0,0.024765351360110356,7.0,0.03566565353689891,7.0,0.05854456198335631
8.0,0.019976853016655763,8.0,0.011137417227195995,8.0,0.00975115384088637,8.0,0.01075362186371738,8.0,0.015506130572255993,8.0,0.02407869222148214,8.0,0.045310151126417786
9.0,0.012817102889059816,9.0,0.0063814108092005205,9.0,0.005471328594710821,9.0,0.006041771399844614,9.0,0.009803514224340304,9.0,0.016624572905560697,9.0,0.034391414991823965
10.0,0.007655756913543861,10.0,0.003815257895754611,10.0,0.0029308243285810155,10.0,0.003747543530917234,10.0,0.006097332962161219,10.0,0.011068651097658283,10.0,0.025597405888826783
11.0,0.004988821876055811,11.0,0.002226438169303376,11.0,0.001670843776106934,11.0,0.002285087518851972,11.0,0.003934701407268602,11.0,0.007420019959489965,11.0,0.019289188541749845
