x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
1.0,0.3130546365294827,1.0,0.37716437332152053,1.0,0.36825672159583694,1.0,0.3082145508785777,1.0,0.25832780844894854,1.0,0.21029268758903283,1.0,0.14896537675378999
2.0,0.22801552209269968,2.0,0.2371438854896315,2.0,0.2371334040024413,2.0,0.21343718855140031,2.0,0.19806939662152045,2.0,0.17259207454256661,2.0,0.13912030981983503
3.0,0.1587381342568257,3.0,0.15401312328691272,3.0,0.15039028620988726,3.0,0.1479100753831027,3.0,0.14916118506478626,3.0,0.13884493610875545,3.0,0.12436081140203661
4.0,0.11040165733898148,4.0,0.0973614994878042,4.0,0.09684880023128072,4.0,0.10635238088867782,4.0,0.1143131677599318,4.0,0.1134022182542512,4.0,0.11207126041394189
5.0,0.07110942766148233,5.0,0.05758741936376976,5.0,0.05874530211043654,5.0,0.07376440606543012,5.0,0.08353472428026287,5.0,0.08895469585097555,5.0,0.09538580486257879
6.0,0.046728610741782875,6.0,0.03341177773471026,6.0,0.035829237737303656,6.0,0.050855166785950784,6.0,0.05987192452345963,6.0,0.06906292335629666,6.0,0.08076519758422011
7.0,0.02744967688073962,7.0,0.01859962900412525,7.0,0.021367768462304454,7.0,0.033919051791602844,7.0,0.04235778642069983,7.0,0.05354030162310917,7.0,0.06607051503149357
8.0,0.01702946723972666,8.0,0.010681358841606911,8.0,0.012881051042369342,8.0,0.022474465395343236,8.0,0.02978090905480176,8.0,0.040363064291750045,8.0,0.05412124733502626
9.0,0.010698494171485112,9.0,0.006057753536919627,9.0,0.007291767048922296,9.0,0.014832478278027866,9.0,0.02023635302636363,9.0,0.030436899905486772,9.0,0.042486799554622416
10.0,0.006037228286076497,10.0,0.0033057393615548605,10.0,0.004471427194757637,10.0,0.009498137161127202,10.0,0.013789805900882047,10.0,0.022023250557142576,10.0,0.032866273296095073
11.0,0.0038882533007637363,11.0,0.001805144106979706,11.0,0.0025248144935915966,11.0,0.006628629525828913,11.0,0.009596495033714524,11.0,0.016360042295806676,11.0,0.02547494982557588
12.0,0.002496830648402956,12.0,0.0010576151056230793,12.0,0.001663936269313546,12.0,0.004244061992067049,12.0,0.006544314664825378,12.0,0.011936277149796637,12.0,0.019426240702974353
13.0,0.0016697071828329366,13.0,0.0005592624380519948,13.0,0.000982943047123446,13.0,0.0026989424961372014,13.0,0.004362876443216919,13.0,0.008604799694159447,13.0,0.014562735970258778
14.0,0.000981725982498995,14.0,0.00043744289709017414,14.0,0.0005203816131830009,14.0,0.0015752192263700393,14.0,0.0029605233007543377,14.0,0.006356507531475332,14.0,0.011382128877088286
15.0,0.0005797594384836586,15.0,0.00028239984495694785,15.0,0.00035334553981561785,15.0,0.001227400119061156,15.0,0.0021233887451230803,15.0,0.004704422399786397,15.0,0.008370506003569502
16.0,0.0004096966698617854,16.0,0.00013843129654752347,16.0,0.00020558285952908676,16.0,0.0006956382146177669,16.0,0.0013992979068580874,16.0,0.0033314774556371905,16.0,0.0063913072665529305
17.0,0.00020098327200766827,17.0,9.413328165231596e-05,17.0,0.00014133821592624715,17.0,0.0004882845160297787,17.0,0.001012810602889642,17.0,0.0024060670512935267,17.0,0.004794059162995697
18.0,0.0001623326427754244,18.0,8.859602979041501e-05,18.0,0.00010921589412482734,18.0,0.00034113027832217415,18.0,0.0006950661000223032,18.0,0.0017901381592221699,18.0,0.003405147768598102
19.0,0.00010822176185028293,19.0,3.322351117140563e-05,19.0,0.00010921589412482734,19.0,0.0002407978435215347,19.0,0.00047967198990550157,19.0,0.0013092281622107903,19.0,0.0025718009319595455
20.0,5.411088092514146e-05,20.0,6.644702234281126e-05,20.0,3.854678616170377e-05,20.0,0.00020400928409463356,20.0,0.0003712111259459773,20.0,0.0009056885432674876,20.0,0.001995402703284544
21.0,6.957113261803902e-05,21.0,4.4298014895207506e-05,21.0,4.497125052198773e-05,21.0,9.364360581393016e-05,21.0,0.0002627502619864531,21.0,0.0006584067466969675,21.0,0.001462986668765466
22.0,2.319037753934634e-05,22.0,1.1074503723801876e-05,22.0,1.9273393080851885e-05,22.0,8.36103623338662e-05,22.0,0.00018484175407186524,22.0,0.0005552462426061984,22.0,0.0010208498748822319
23.0,3.86506292322439e-05,23.0,3.322351117140563e-05,23.0,6.424464360283961e-06,23.0,3.678855942690113e-05,23.0,0.00013443036659772017,23.0,0.00039443722152352894,23.0,0.0007083448111427731
24.0,2.319037753934634e-05,25.0,5.537251861900938e-06,24.0,1.9273393080851885e-05,24.0,4.347738841361043e-05,24.0,9.01294503325624e-05,24.0,0.0002882425849595019,24.0,0.0005879724902949817
25.0,7.73012584644878e-06,26.0,5.537251861900938e-06,25.0,1.2848928720567923e-05,25.0,3.344414493354648e-05,25.0,7.332565450784737e-05,25.0,0.00020632100818153822,25.0,0.0003981545997273104
26.0,1.546025169289756e-05,30.0,5.537251861900938e-06,27.0,1.9273393080851885e-05,26.0,2.6755315946837188e-05,26.0,6.263232989211964e-05,26.0,0.00017294555097570116,26.0,0.0002800971312035149
36.0,7.73012584644878e-06,32.0,5.537251861900938e-06,32.0,6.424464360283961e-06,27.0,2.341090145348254e-05,27.0,3.8190445056170505e-05,27.0,0.00011377996774717181,27.0,0.00022685552775160707
0.0,0.0,0.0,0.0,35.0,6.424464360283961e-06,28.0,6.688828986709297e-06,28.0,3.8190445056170505e-05,28.0,0.00010164343785414015,28.0,0.00018518818591967926
0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.3444144933546485e-06,29.0,2.7497120440442766e-05,29.0,7.433624559481891e-05,29.0,0.00011805746852379552
0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.3444144933546485e-06,30.0,2.9024738242689584e-05,30.0,3.640958967909498e-05,30.0,0.00010185350225582359
0.0,0.0,0.0,0.0,0.0,0.0,31.0,6.688828986709297e-06,31.0,1.3748560220221383e-05,31.0,4.2477854625610806e-05,31.0,9.259409295983963e-05
0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0033243480063946e-05,32.0,1.0693324615727742e-05,32.0,3.792665591572394e-05,32.0,7.40752743678717e-05
0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.688828986709297e-06,33.0,6.110471208987281e-06,33.0,2.2755993549434363e-05,33.0,5.5556455775903775e-05
0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.688828986709297e-06,34.0,6.110471208987281e-06,34.0,1.9721861076176446e-05,34.0,4.1667341831927835e-05
0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.688828986709297e-06,35.0,9.165706813480921e-06,35.0,3.034132473257915e-06,35.0,1.1574261619979954e-05
0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.3444144933546485e-06,36.0,3.0552356044936406e-06,36.0,9.102397419773745e-06,36.0,6.944556971987972e-06
0.0,0.0,0.0,0.0,0.0,0.0,44.0,3.3444144933546485e-06,37.0,4.5828534067404605e-06,37.0,6.06826494651583e-06,37.0,4.629704647991981e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0552356044936406e-06,38.0,1.0619463656402702e-05,38.0,6.944556971987972e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.5276178022468203e-06,40.0,3.034132473257915e-06,39.0,4.629704647991981e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.5276178022468203e-06,41.0,6.06826494651583e-06,40.0,1.1574261619979954e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.5828534067404605e-06,42.0,3.034132473257915e-06,41.0,2.3148523239959905e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4.5828534067404605e-06,43.0,6.06826494651583e-06,42.0,4.629704647991981e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.5276178022468203e-06,44.0,1.5170662366289575e-06,43.0,2.3148523239959905e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.034132473257915e-06,50.0,2.3148523239959905e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.5170662366289575e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.5170662366289575e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.5170662366289575e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.5170662366289575e-06,0.0,0.0
