x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
1.0,0.3197016918087699,1.0,0.3924791938882415,1.0,0.39468440403019844,1.0,0.36387933077784407,1.0,0.3242142673887405,1.0,0.3004751393617419,1.0,0.2940861688659175
2.0,0.23097554520641014,2.0,0.23944980047321396,2.0,0.2424749515871011,2.0,0.22461606362024014,2.0,0.21740077285500914,2.0,0.2059249005449761,2.0,0.1994922797812496
3.0,0.16066455733703058,3.0,0.15315593695188992,3.0,0.14721731076871264,3.0,0.14352968099974664,3.0,0.14693692063220573,3.0,0.14338234377143427,3.0,0.1376456922093008
4.0,0.10922693463843167,4.0,0.09549622723687773,4.0,0.09124428166484241,4.0,0.09661343184771681,4.0,0.10481174835077196,4.0,0.10460423759462258,4.0,0.10048357414150906
5.0,0.07024383692590881,5.0,0.05439017786724112,5.0,0.05313491061154613,5.0,0.06167501695940368,5.0,0.07010984246565807,5.0,0.07272251113023308,5.0,0.07295052011955572
6.0,0.04508988351286335,6.0,0.030285105531423998,6.0,0.030763239875389408,6.0,0.040314341525610746,6.0,0.04683370093335269,6.0,0.051640540237195554,6.0,0.05333346385266977
7.0,0.026406121006000136,7.0,0.016035714706124707,7.0,0.01754090539137268,7.0,0.025620959370990022,7.0,0.030848569343152794,7.0,0.036721663112474594,7.0,0.03937768380385554
8.0,0.015646169828686093,8.0,0.008554931666490094,8.0,0.010166708764839607,8.0,0.015978618891549723,8.0,0.02037942686218082,8.0,0.025520346190779055,8.0,0.028779513684952424
9.0,0.009298430642950533,9.0,0.004534967216395334,9.0,0.005455221576716904,9.0,0.010024437887716488,9.0,0.01316598085562965,9.0,0.018078990360033423,9.0,0.021003824216557682
10.0,0.005060021093296361,10.0,0.0024514131675907286,10.0,0.0031187729785860626,10.0,0.006283152569247493,10.0,0.008570814878751658,10.0,0.012341152555900582,10.0,0.015221817612279259
11.0,0.003124493899139283,11.0,0.0013537215571329355,11.0,0.0016698941932586791,11.0,0.00413972913993347,11.0,0.00562935178426884,11.0,0.00869218202451769,11.0,0.010950572327290287
12.0,0.0018802264171811614,12.0,0.0007798613318265823,12.0,0.0010033397883865173,12.0,0.0026338158249626076,12.0,0.003765828512104946,12.0,0.00590370010101388,12.0,0.007501598861871386
13.0,0.0010270144295527353,13.0,0.0003884592294381467,13.0,0.0005683253346804749,13.0,0.0016264681122344729,13.0,0.0023806161758593188,13.0,0.004170252035866163,13.0,0.0053512927940274355
14.0,0.0006399089907213197,14.0,0.00028545867617803207,14.0,0.00036134265106227723,14.0,0.0009766981880000981,14.0,0.0015313905224826029,14.0,0.0029294025216057467,14.0,0.004000417661876607
15.0,0.0003752552723365763,15.0,0.0001442007745641605,15.0,0.00021049086469647217,15.0,0.0007580649116067707,15.0,0.0010809230506094736,15.0,0.0020414780450696496,15.0,0.0028290066173303576
16.0,0.00025675360738818383,16.0,7.651469670751375e-05,16.0,0.00013331088097443238,16.0,0.00040457372641008245,16.0,0.0006931033728379053,16.0,0.0013780288575454874,16.0,0.001977367947061357
17.0,0.00012245172044667227,17.0,5.002884015491283e-05,17.0,6.665544048721619e-05,17.0,0.0002594993093640428,17.0,0.00048427739249936854,17.0,0.00100639754573684,17.0,0.001504235352467468
18.0,8.690122096215451e-05,18.0,2.354298360231192e-05,18.0,6.314725940894166e-05,18.0,0.00020637346650211277,18.0,0.00032815511196055775,18.0,0.0006871438013643109,18.0,0.0009560541394207552
19.0,6.715094347075576e-05,19.0,1.4714364751444951e-05,19.0,4.560635401756897e-05,19.0,0.00013077130550628928,19.0,0.00021877007464037184,19.0,0.0005250227593001359,19.0,0.0007048044167743451
20.0,3.160044398623801e-05,20.0,8.82861885086697e-06,20.0,2.4557267547921754e-05,20.0,0.00011033828902093158,20.0,0.0001789936974330315,20.0,0.00034419544315163306,20.0,0.0005677591135126669
21.0,2.3700332989678505e-05,21.0,8.82861885086697e-06,21.0,2.806544862619629e-05,21.0,6.12990494560731e-05,21.0,0.00012430117877293854,21.0,0.00024816990285208326,21.0,0.00036871712544213423
22.0,1.5800221993119004e-05,22.0,1.4714364751444951e-05,22.0,1.0524543234823608e-05,22.0,4.903923956485848e-05,22.0,8.551921099578171e-05,22.0,0.00018082731614850288,22.0,0.0002871425401673258
23.0,1.9750277491398755e-05,23.0,8.82861885086697e-06,25.0,1.0524543234823608e-05,23.0,1.838971483682193e-05,23.0,5.96645658110105e-05,23.0,0.00013593225834611594,23.0,0.00015662320372763225
24.0,3.950055498279751e-06,24.0,2.94287295028899e-06,27.0,3.5081810782745364e-06,24.0,2.247631813389347e-05,24.0,3.7787558346973314e-05,24.0,0.00010226096499432577,24.0,0.00012073038620671653
25.0,3.950055498279751e-06,25.0,2.94287295028899e-06,0.0,0.0,25.0,1.838971483682193e-05,25.0,2.6849054614954723e-05,25.0,6.858967164253558e-05,25.0,0.00011746740279572419
27.0,3.950055498279751e-06,32.0,2.94287295028899e-06,0.0,0.0,26.0,1.430311153975039e-05,26.0,2.983228290550525e-05,26.0,4.988339755820769e-05,26.0,4.568176775389274e-05
36.0,3.950055498279751e-06,0.0,0.0,0.0,0.0,27.0,1.430311153975039e-05,27.0,1.5910550882936132e-05,27.0,3.865963310761096e-05,27.0,6.199668480885443e-05
0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.04330164853577e-06,28.0,1.2927322592385608e-05,28.0,2.1200443962238266e-05,28.0,3.2629834109923386e-05
0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.04330164853577e-06,29.0,1.19329131622021e-05,29.0,1.2470849389551923e-05,29.0,2.284088387694637e-05
0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.04330164853577e-06,30.0,4.972047150917542e-06,30.0,1.3717934328507115e-05,30.0,1.6314917054961693e-05
