x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
1.0,0.4325626204238921,1.0,0.4887274082355133,1.0,0.5056379012457943,1.0,0.4424853064651553,1.0,0.3874178141049981,1.0,0.37048866647041506,1.0,0.33614901451158763
2.0,0.22593815946417103,2.0,0.25027016955468606,2.0,0.255615167773029,2.0,0.24765872246980558,2.0,0.24404964127980175,2.0,0.25799234618781275,2.0,0.271450230514558
3.0,0.1318010826681347,3.0,0.12070057760387554,3.0,0.10625625170501046,3.0,0.12720403022670027,3.0,0.13589400267791124,3.0,0.1352958492787754,3.0,0.1515362480274761
4.0,0.07881457014404991,4.0,0.06376001490590646,4.0,0.05987996726379922,4.0,0.07165923916553639,4.0,0.08435420372109755,4.0,0.08450103032087136,4.0,0.09376837154614932
5.0,0.050325717955775756,5.0,0.0349543506614496,5.0,0.03428207693007184,5.0,0.0436284957695537,5.0,0.05137992365954555,5.0,0.05167795113335296,5.0,0.053482471611126584
6.0,0.030645013303972842,6.0,0.018557853549468976,6.0,0.016913703737382924,6.0,0.02583478654007621,6.0,0.03409340714242891,6.0,0.03220488666470415,6.0,0.03203997648442093
7.0,0.019543077346545555,7.0,0.010620458356623811,7.0,0.00913885605165045,7.0,0.01575921978944649,7.0,0.021962868962209475,7.0,0.02053282307918752,7.0,0.020699897892880348
8.0,0.012294705936324434,8.0,0.005701509223029626,8.0,0.005137764844957716,8.0,0.010043273267454628,8.0,0.014348807929814744,8.0,0.014689431851633794,8.0,0.0137999319285869
9.0,0.007385998715478484,9.0,0.002534004099124278,9.0,0.0031372192416113487,9.0,0.0061357618032681005,9.0,0.008893063410539779,9.0,0.010435678539888136,9.0,0.008818342151675485
10.0,0.003945316084044408,10.0,0.0016769144773616546,10.0,0.0013185414203873785,10.0,0.003778337531486146,10.0,0.006075261296188973,10.0,0.007153370621136297,10.0,0.00556947925368978
11.0,0.0032571795577575925,11.0,0.0008570896217626235,11.0,0.0008184050195507866,11.0,0.0022605438222566684,11.0,0.0036171786006914605,11.0,0.004886664704150721,11.0,0.003929577028992234
12.0,0.0007798880631250573,12.0,0.0005589714924538849,12.0,0.0006820041829589888,12.0,0.00122715236065362,12.0,0.002977677411618937,12.0,0.0031939947012069475,12.0,0.002691914972616727
13.0,0.0011468942104780255,13.0,0.00022358859698155394,13.0,0.000363735564244794,13.0,0.0010656849447781439,13.0,0.0014388776754131777,13.0,0.002207830438622314,13.0,0.001670843776106934
14.0,0.00041288191577208916,14.0,0.00029811812930873857,14.0,0.00031826861871419476,14.0,0.00035522831492604793,14.0,0.001119127080876916,14.0,0.0014424492198999116,14.0,0.001299545159194282
15.0,0.0002293788420956051,15.0,0.00026085336314514624,15.0,0.00022733472765299628,15.0,0.00035522831492604793,15.0,0.0007594076620236216,15.0,0.0008684133058581101,15.0,0.0009591880936910177
16.0,0.0003211303789338471,16.0,0.00011179429849077697,16.0,0.00013640083659179777,16.0,0.00022605438222566686,16.0,0.0005195947161214252,16.0,0.0006181925228142479,16.0,0.0007890095609393855
17.0,4.587576841912102e-05,17.0,7.452953232718464e-05,17.0,9.09338910611985e-05,17.0,3.229348317509527e-05,17.0,0.0003797038310118108,17.0,0.0005298793052693553,17.0,0.000556947925368978
18.0,0.00013762730525736306,18.0,3.726476616359232e-05,21.0,4.546694553059925e-05,18.0,0.00012917393270038107,18.0,0.00021982853374367993,18.0,0.00026493965263467764,18.0,0.000278473962684489
19.0,0.00013762730525736306,20.0,3.726476616359232e-05,0.0,0.0,19.0,3.229348317509527e-05,19.0,0.0001398908851096145,19.0,0.00022078304386223137,19.0,7.735387852346917e-05
20.0,4.587576841912102e-05,25.0,3.726476616359232e-05,0.0,0.0,21.0,6.458696635019054e-05,20.0,9.992206079258178e-05,20.0,0.00026493965263467764,20.0,0.00017017853275163217
21.0,9.175153683824204e-05,0.0,0.0,0.0,0.0,25.0,6.458696635019054e-05,21.0,7.993764863406544e-05,21.0,0.00014718869590815426,21.0,6.188310281877533e-05
22.0,9.175153683824204e-05,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.992206079258178e-05,22.0,0.00016190756549896968,22.0,9.2824654228163e-05
23.0,4.587576841912102e-05,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.995323647554907e-05,23.0,7.359434795407713e-05,24.0,4.64123271140815e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.998441215851636e-05,24.0,4.4156608772446274e-05,25.0,3.094155140938767e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.943773918163085e-05,26.0,3.094155140938767e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.4718869590815426e-05,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.4718869590815426e-05,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.943773918163085e-05,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.4718869590815426e-05,0.0,0.0
