x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
0.0,0.7265082087285849,0.0,0.6634722694740055,0.0,0.6537889335295756,0.0,0.634881196074305,0.0,0.5898882142776505,0.0,0.4923306286811979,0.0,0.35746113836976134
1.0,0.16761795022955858,1.0,0.17582326737867596,1.0,0.18447034488245356,1.0,0.18336410246599452,1.0,0.18773700841752833,1.0,0.18429444680912704,1.0,0.16953359111100327
2.0,0.03423727602408132,2.0,0.02745231456015567,2.0,0.031815107999522654,2.0,0.037138183696504755,2.0,0.04607115709028119,2.0,0.058916995184218675,2.0,0.06685985548967648
3.0,0.03537167050752988,3.0,0.06889151025884792,3.0,0.06408369465770317,3.0,0.06187704463277917,3.0,0.06740366182372971,3.0,0.0796241863201503,3.0,0.0953078340263058
4.0,0.013693123961627097,4.0,0.01744942116123863,4.0,0.01926488722701778,4.0,0.021706586826347306,4.0,0.02864583053340401,4.0,0.04358605228498907,4.0,0.05632401647882173
5.0,0.004863604694785358,5.0,0.0044990763380380215,5.0,0.004920641234734874,5.0,0.007018710183466932,5.0,0.010897952118251812,5.0,0.021220859620308737,5.0,0.03405299636211119
6.0,0.00791843078407203,6.0,0.028120022002550007,6.0,0.026182425713035522,6.0,0.031984752539649136,6.0,0.03401094310937841,6.0,0.03916025788163563,6.0,0.053914933368920746
7.0,0.00342998017042714,7.0,0.006600765001955429,7.0,0.007363061378734237,7.0,0.010612959384744887,7.0,0.013997675476274698,7.0,0.022589156580862118,7.0,0.03336146818883745
8.0,0.0016703288850778,8.0,0.0021175864601648917,8.0,0.0024225307291459485,8.0,0.0034722886495379846,8.0,0.0057661520530963364,8.0,0.01261886244158553,8.0,0.024262413277340928
9.0,0.0015229469246297587,9.0,0.002543647399597468,9.0,0.0024543537929114126,9.0,0.0032283675460580436,9.0,0.005380164996027236,9.0,0.01198151239155578,9.0,0.0239313809938941
10.0,0.0008753595226610929,10.0,0.0009793042488450252,10.0,0.0010819841680257767,10.0,0.001681142507317633,10.0,0.003028761949202383,10.0,0.007917848698446516,10.0,0.016080196470259954
11.0,0.0006431212819550887,11.0,0.0005373455131649651,11.0,0.0005131469032181073,11.0,0.0009948154808593675,11.0,0.0018310193821411637,11.0,0.005467616600517457,11.0,0.013218760344758858
12.0,0.0005225360415885095,12.0,0.0005373455131649651,12.0,0.0005966824456024504,12.0,0.0007867651278911825,12.0,0.0016020075627659037,12.0,0.0050107747814401886,12.0,0.011754245792337036
13.0,0.0002768994408417743,13.0,0.0002384669437122626,13.0,0.0003540315843907872,13.0,0.00038022995542461404,13.0,0.0010009859335134606,13.0,0.003402914427956045,13.0,0.008483785484147714
14.0,0.00016078032048877217,14.0,0.00018441443647081643,14.0,0.00011535860614980707,14.0,0.00028457462072659795,14.0,0.000668757519490196,14.0,0.002553857193475853,14.0,0.007045268231473024
