x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
0.0,0.7387410053841896,0.0,0.681786585971349,0.0,0.6897503321144391,0.0,0.7048763767652301,0.0,0.6608657174078336,0.0,0.5752243169330584,0.0,0.4336838670031975
1.0,0.15832680377540237,1.0,0.1700768800597898,1.0,0.1733911280934577,1.0,0.16110324025410172,1.0,0.17117820831896427,1.0,0.18135629053560995,1.0,0.17768897745775716
2.0,0.03264299731868795,2.0,0.026074413208109253,2.0,0.026350028075653616,2.0,0.02429962067547187,2.0,0.03172482850601839,2.0,0.04483838041696693,2.0,0.060006179761627844
3.0,0.034267599255270974,3.0,0.06330192278545185,3.0,0.05631565251927633,3.0,0.052483890132992095,3.0,0.0585884102892234,3.0,0.07217469782286975,3.0,0.08651666278984992
4.0,0.013298732666719382,4.0,0.016092026110997873,4.0,0.015434761767807496,4.0,0.013491156711302042,4.0,0.018952629851378806,4.0,0.031003134867501267,4.0,0.04562608276020095
5.0,0.004880994313893222,5.0,0.00418633092397184,5.0,0.003786789377816125,5.0,0.003596727754673004,5.0,0.006296768725148434,5.0,0.013555630826727531,5.0,0.026441047504313683
6.0,0.007720453450841414,6.0,0.025332267151674793,6.0,0.022529000095868085,6.0,0.02719711164937617,6.0,0.030499129545992796,6.0,0.03359923253715125,6.0,0.04618851050385888
7.0,0.003407350964337831,7.0,0.005958073974192132,7.0,0.006019146226221291,7.0,0.006750148530688726,7.0,0.009759887651186851,7.0,0.015331070651593236,7.0,0.026486180594854133
8.0,0.0018043145401873324,8.0,0.002001703800101392,8.0,0.001944752591862169,8.0,0.0017686577395914264,8.0,0.0032200565898977476,8.0,0.00764962229279526,8.0,0.018046292663789723
9.0,0.0015383398868529447,9.0,0.0024041351123933164,9.0,0.002006382075407097,9.0,0.0020108770165897356,9.0,0.003394562882511561,9.0,0.0076769017779404446,9.0,0.018077538649548495
10.0,0.0009273170345982704,10.0,0.0008153153859420813,10.0,0.0007190106413574921,10.0,0.0008820437822768612,10.0,0.0017512952937314846,10.0,0.004362444332800626,10.0,0.01154712762596472
11.0,0.0006757193895522281,11.0,0.0005226380679115906,11.0,0.0004108632236328526,11.0,0.0004752982039212102,11.0,0.0009909464473427262,11.0,0.003005289946827737,11.0,0.009401569937195568
12.0,0.0005894573398221564,12.0,0.000501732545195127,12.0,0.00043825410520837615,12.0,0.0004433069786572826,12.0,0.0009120031244936202,12.0,0.0027734143230936756,12.0,0.008731517131479636
13.0,0.00028754016576690555,13.0,0.00024041351123933166,13.0,0.0002876042565429968,13.0,0.00015995612631963804,13.0,0.0005401385247570415,13.0,0.001750433630149287,13.0,0.006499165037825001
14.0,0.00018690110774848863,14.0,0.00017769694308994078,14.0,0.00010956352630209404,14.0,0.00016452630135734198,14.0,0.000311618379667524,14.0,0.0012457631549633887,14.0,0.004995885945208428
15.0,0.00010063905801841694,15.0,0.00014633865901524535,15.0,8.217264472657052e-05,15.0,9.140350075407889e-05,15.0,0.00023059760095396774,15.0,0.0011002725675224089,15.0,0.004127941896353593
16.0,0.00014377008288345277,16.0,6.271656814939087e-05,16.0,6.16294835449279e-05,16.0,4.5701750377039444e-05,16.0,0.00017450629261381341,16.0,0.0007774653266377353,16.0,0.003218336533153727
17.0,7.907354558589903e-05,17.0,7.839571018673858e-05,17.0,6.847720393880877e-05,17.0,2.7421050226223663e-05,17.0,0.00012256989600255942,17.0,0.0005160369273297248,17.0,0.002596888594173665
18.0,0.00010782756216258959,18.0,3.1358284074695435e-05,18.0,5.478176315104702e-05,18.0,1.8280700150815777e-05,18.0,0.00010595024908695815,18.0,0.00043192518146540845,18.0,0.0020448761791019903
19.0,3.5942520720863193e-05,19.0,2.6131903395579526e-05,19.0,3.4238601969404384e-05,19.0,2.7421050226223663e-05,19.0,8.517569044245655e-05,19.0,0.00036827304945997986,19.0,0.0017289445453188305
20.0,4.3131024865035836e-05,20.0,3.1358284074695435e-05,20.0,2.054316118164263e-05,20.0,1.8280700150815777e-05,20.0,5.1936396611253997e-05,20.0,0.0002750681418806022,20.0,0.0012776136399143166
21.0,3.5942520720863193e-05,21.0,2.6131903395579526e-05,21.0,1.3695440787761755e-05,21.0,1.3710525113111831e-05,21.0,3.9471661424553035e-05,21.0,0.00019322968644505117,21.0,0.0011630450254654784
22.0,2.1565512432517918e-05,22.0,5.226380679115906e-06,22.0,3.4238601969404384e-05,22.0,4.570175037703944e-06,22.0,4.3626573153453354e-05,22.0,0.00015685703958480624,22.0,0.0007637907629922544
23.0,1.4377008288345279e-05,23.0,1.0452761358231812e-05,23.0,2.739088157552351e-05,23.0,4.570175037703944e-06,23.0,2.492947037340192e-05,23.0,0.0001227576831533266,23.0,0.0006075608341983842
24.0,1.4377008288345279e-05,24.0,2.0905522716463623e-05,24.0,2.054316118164263e-05,24.0,1.8280700150815777e-05,24.0,1.4542191051151118e-05,24.0,0.00010457135972320416,24.0,0.0005172946531174814
25.0,2.1565512432517918e-05,25.0,5.226380679115906e-06,25.0,2.739088157552351e-05,25.0,4.570175037703944e-06,25.0,2.492947037340192e-05,25.0,7.047200329172454e-05,25.0,0.0004235566958411593
26.0,7.188504144172639e-06,26.0,1.5679142037347717e-05,26.0,6.847720393880877e-06,26.0,4.570175037703944e-06,26.0,1.246473518670096e-05,26.0,5.001238943283677e-05,26.0,0.00034023406715109515
27.0,2.1565512432517918e-05,27.0,1.0452761358231812e-05,27.0,6.847720393880877e-06,28.0,9.140350075407889e-06,27.0,2.0774558644501597e-05,27.0,5.001238943283677e-05,27.0,0.0002881574242198051
28.0,7.188504144172639e-06,28.0,1.5679142037347717e-05,30.0,6.847720393880877e-06,29.0,4.570175037703944e-06,28.0,6.23236759335048e-06,28.0,3.8645937289010233e-05,28.0,0.00016664525738012824
29.0,1.4377008288345279e-05,30.0,1.0452761358231812e-05,32.0,6.847720393880877e-06,40.0,4.570175037703944e-06,29.0,6.23236759335048e-06,29.0,3.182606600271431e-05,29.0,0.00012845571923051553
30.0,1.4377008288345279e-05,31.0,5.226380679115906e-06,33.0,1.3695440787761755e-05,0.0,0.0,30.0,8.30982345780064e-06,30.0,2.0459613858887768e-05,30.0,9.720973347174148e-05
33.0,7.188504144172639e-06,32.0,5.226380679115906e-06,39.0,6.847720393880877e-06,0.0,0.0,31.0,8.30982345780064e-06,31.0,9.093161715061231e-06,31.0,0.00012151216683967685
35.0,7.188504144172639e-06,35.0,5.226380679115906e-06,48.0,6.847720393880877e-06,0.0,0.0,32.0,2.07745586445016e-06,32.0,1.5913033001357155e-05,32.0,8.332262869006412e-05
40.0,7.188504144172639e-06,38.0,5.226380679115906e-06,49.0,6.847720393880877e-06,0.0,0.0,33.0,2.07745586445016e-06,33.0,1.8186323430122462e-05,33.0,7.985085249464478e-05
0.0,0.0,41.0,5.226380679115906e-06,0.0,0.0,0.0,0.0,34.0,4.15491172890032e-06,34.0,1.8186323430122462e-05,34.0,5.902019532212875e-05
0.0,0.0,54.0,5.226380679115906e-06,0.0,0.0,0.0,0.0,35.0,4.15491172890032e-06,35.0,1.3639742572591847e-05,35.0,4.51330905404514e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.23236759335048e-06,37.0,4.5465808575306155e-06,36.0,4.51330905404514e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.07745586445016e-06,38.0,9.093161715061231e-06,37.0,1.7358880977096692e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.07745586445016e-06,39.0,2.2732904287653077e-06,38.0,2.430243336793537e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.07745586445016e-06,40.0,6.819871286295924e-06,39.0,2.430243336793537e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.07745586445016e-06,41.0,9.093161715061231e-06,40.0,2.430243336793537e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.07745586445016e-06,42.0,6.819871286295924e-06,41.0,6.943552390838677e-06
