x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
0.0,0.7524736402708636,0.0,0.6940003876076304,0.0,0.6688766824066044,0.0,0.6331879627833555,0.0,0.5939836300476311,0.0,0.4981772449166903,0.0,0.38537661489885255
1.0,0.1573930923595436,1.0,0.16616185387192337,1.0,0.18015482959108284,1.0,0.18504310950281935,1.0,0.18434222305053055,1.0,0.1810163433545672,1.0,0.17035229737518895
2.0,0.029134844315265453,2.0,0.02414241811788809,2.0,0.03124859464842119,2.0,0.039423958047664596,2.0,0.04815509598022651,2.0,0.05944017221735918,2.0,0.06534365140175882
3.0,0.030634488729476515,3.0,0.06047786483568205,3.0,0.05810285567440815,3.0,0.0595406112251928,3.0,0.06497875083637075,3.0,0.07601260378629392,3.0,0.08816115075938731
4.0,0.011270523484122321,4.0,0.014945042775270633,4.0,0.018483183964536957,4.0,0.023287158117228417,4.0,0.030005468871732045,4.0,0.04320908055166597,4.0,0.05166750387159051
5.0,0.003795491790606351,5.0,0.0038373155402973503,5.0,0.0049532620217789345,5.0,0.007872751717356843,5.0,0.011875700794666781,5.0,0.021836651410037215,5.0,0.0316370867120532
6.0,0.007142636282118673,6.0,0.02430299842188322,6.0,0.023571359737881853,6.0,0.028180036521006268,6.0,0.029510520703804072,6.0,0.03582096797928294,6.0,0.050169794417965104
7.0,0.0027287344237964194,7.0,0.0056424596472770564,7.0,0.006790658828820147,7.0,0.010869347103402607,7.0,0.014005200010998848,7.0,0.02249657522297081,7.0,0.030602347723226998
8.0,0.0013218515197427414,8.0,0.0017663833439463994,8.0,0.0022742603835405224,8.0,0.003882865226784747,8.0,0.00626476060701421,8.0,0.013122622946840481,8.0,0.0229216677122083
9.0,0.0013914226523607804,9.0,0.0021207674631080597,9.0,0.00228710931226109,9.0,0.0034581245861287063,9.0,0.005643020161499754,9.0,0.012315543708953876,9.0,0.022792035982064526
10.0,0.0007189017037197365,10.0,0.0008914975497660511,10.0,0.0011949503710128168,10.0,0.0018594944583051845,10.0,0.0032767401858194295,10.0,0.008474331997809356,10.0,0.015194690654709683
11.0,0.0005874895643301073,11.0,0.00043744289709017414,11.0,0.0005396550062638527,11.0,0.0011237232697671618,11.0,0.0020103450277568153,11.0,0.0058437391434947444,11.0,0.01279418879472584
12.0,0.000386506292322439,12.0,0.0004595919045377779,12.0,0.0006038996498666923,12.0,0.0008394480378320167,12.0,0.001759815708188337,12.0,0.005417443531002007,12.0,0.011220089214408566
13.0,0.00023963390123991218,13.0,0.00019380381516653284,13.0,0.0003147987536539141,13.0,0.0004481515421095229,13.0,0.0011029400532222042,13.0,0.0036910221537182534,13.0,0.00780568203651448
14.0,0.00013141213938962926,14.0,0.00015504305213322628,14.0,8.994250104397546e-05,14.0,0.0003177193768686916,14.0,0.0007638089011234101,14.0,0.0028384309287327793,14.0,0.006724646001208353
15.0,0.0001546025169289756,15.0,0.00012181954096182065,15.0,9.636696540425942e-05,15.0,0.00019732045510792426,15.0,0.0005560528800178426,15.0,0.002286218818599839,15.0,0.005576479248506342
16.0,6.184100677159024e-05,16.0,7.752152606661314e-05,16.0,7.709357232340754e-05,16.0,0.00012708775074747665,16.0,0.00041856727781562874,16.0,0.0016854605888947717,16.0,0.004240809457560655
17.0,7.73012584644878e-05,17.0,4.983526675710845e-05,17.0,6.424464360283962e-05,17.0,7.357711885380227e-05,17.0,0.0003391311520987941,17.0,0.0013031598972642745,17.0,0.003511630975501918
18.0,6.957113261803902e-05,18.0,4.4298014895207506e-05,18.0,4.497125052198773e-05,18.0,6.354387537373832e-05,18.0,0.00020928363890781437,18.0,0.0010437415708007228,18.0,0.002719951480695289
19.0,6.184100677159024e-05,19.0,2.7686259309504694e-05,19.0,3.212232180141981e-05,19.0,4.347738841361043e-05,19.0,0.00015428939802692885,19.0,0.0007903915092836868,19.0,0.0021204047287803275
20.0,5.411088092514146e-05,20.0,2.7686259309504694e-05,20.0,2.5697857441135846e-05,20.0,2.6755315946837188e-05,20.0,0.00014817892681794157,20.0,0.0005886216998120355,20.0,0.0018264184836328367
21.0,4.638075507869268e-05,21.0,1.6611755585702815e-05,21.0,3.212232180141981e-05,21.0,3.0099730440191836e-05,21.0,0.00011151609956401789,21.0,0.0005537291763695694,21.0,0.0014282638839055262
22.0,2.319037753934634e-05,22.0,1.1074503723801876e-05,22.0,4.497125052198773e-05,22.0,2.341090145348254e-05,22.0,7.332565450784737e-05,22.0,0.0004020225527066737,22.0,0.0010995548538980957
23.0,1.546025169289756e-05,23.0,1.1074503723801876e-05,23.0,1.9273393080851885e-05,23.0,6.688828986709297e-06,23.0,7.179803670560055e-05,23.0,0.0002988620486159046,23.0,0.0009259409295983963
24.0,1.546025169289756e-05,24.0,1.6611755585702815e-05,24.0,1.9273393080851885e-05,24.0,1.3377657973418594e-05,24.0,5.193900527639189e-05,24.0,0.0002639695251734386,24.0,0.0008564953598785165
25.0,1.546025169289756e-05,26.0,5.537251861900938e-06,25.0,6.424464360283961e-06,25.0,1.0033243480063946e-05,25.0,2.7497120440442766e-05,25.0,0.00016232608731929846,25.0,0.0005532497054350418
26.0,1.546025169289756e-05,27.0,5.537251861900938e-06,26.0,1.9273393080851885e-05,27.0,6.688828986709297e-06,26.0,2.9024738242689584e-05,26.0,0.00014563835871637991,26.0,0.0004745447264191781
27.0,7.73012584644878e-06,29.0,5.537251861900938e-06,27.0,1.9273393080851885e-05,29.0,1.0033243480063946e-05,27.0,1.3748560220221383e-05,27.0,0.00015777488860941157,27.0,0.00038658033810733047
28.0,7.73012584644878e-06,30.0,1.1074503723801876e-05,28.0,6.424464360283961e-06,30.0,6.688828986709297e-06,28.0,1.9859031429208663e-05,28.0,7.737037806807683e-05,28.0,0.0003055605067674708
32.0,7.73012584644878e-06,32.0,1.6611755585702815e-05,62.0,6.424464360283961e-06,31.0,3.3444144933546485e-06,29.0,1.0693324615727742e-05,29.0,6.978504688493204e-05,29.0,0.0002245406754276111
39.0,7.73012584644878e-06,33.0,5.537251861900938e-06,0.0,0.0,32.0,3.3444144933546485e-06,30.0,1.0693324615727742e-05,30.0,4.854611957212664e-05,30.0,0.00021065156148363515
44.0,7.73012584644878e-06,36.0,5.537251861900938e-06,0.0,0.0,33.0,3.3444144933546485e-06,31.0,1.2220942417974562e-05,31.0,6.978504688493204e-05,31.0,0.00016666936732771134
0.0,0.0,37.0,5.537251861900938e-06,0.0,0.0,34.0,3.3444144933546485e-06,32.0,9.165706813480921e-06,32.0,5.764851699190038e-05,32.0,9.95386499318276e-05
0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.3444144933546485e-06,33.0,3.0552356044936406e-06,33.0,4.3994920862239766e-05,33.0,0.00010648320690381558
0.0,0.0,0.0,0.0,0.0,0.0,42.0,3.3444144933546485e-06,34.0,3.0552356044936406e-06,34.0,4.5511987098868727e-05,34.0,9.95386499318276e-05
0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.3444144933546485e-06,35.0,7.638089011234102e-06,35.0,2.7307192259321234e-05,35.0,5.0926751127911795e-05
0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.3444144933546485e-06,36.0,1.5276178022468203e-06,36.0,3.1858390969208105e-05,36.0,4.6297046479919815e-05
