x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
0.0,0.759382369322289,0.0,0.7048563289425669,0.0,0.690950296090483,0.0,0.6766372976109717,0.0,0.6533975987001079,0.0,0.604006883908863,0.0,0.5883713797199055
1.0,0.15554133535576176,1.0,0.16262610210591988,1.0,0.17353919339900648,1.0,0.17173746025778294,1.0,0.17395104721257093,1.0,0.1802648808410341,1.0,0.18672422569403657
2.0,0.028124395147751825,2.0,0.021406457840402113,2.0,0.026560438943616514,2.0,0.030866114702781344,2.0,0.036630065770239716,2.0,0.04551984735680347,2.0,0.05037067491548873
3.0,0.03011522311888482,3.0,0.060019893821143956,3.0,0.055432769217815946,3.0,0.05421287933895105,3.0,0.056650510828124286,3.0,0.06266227692768155,3.0,0.06028035553467246
4.0,0.010491347403431018,4.0,0.013245871149250745,4.0,0.015471078555190705,4.0,0.017292461851558222,4.0,0.020956184331687253,4.0,0.028341252322695697,4.0,0.030296800971063863
5.0,0.0034049478395171452,5.0,0.003039987757648527,5.0,0.0037362128483623813,5.0,0.005220635712008892,5.0,0.007208473959400252,5.0,0.011979497923603576,5.0,0.014422386676586137
6.0,0.00649784129467019,6.0,0.024652446704570872,6.0,0.022725997025062446,6.0,0.027367982280488104,6.0,0.028470936395584026,6.0,0.02832878147330615,6.0,0.024243966743673077
7.0,0.0022910321890022554,7.0,0.005067627220397641,7.0,0.0058586624007184755,7.0,0.008379580060645193,7.0,0.0101300488652794,7.0,0.01363063838278025,7.0,0.013319498283670727
8.0,0.001125765817009729,8.0,0.0014331791267907382,8.0,0.001754090539137268,8.0,0.0025949930936404277,8.0,0.00373301300090889,8.0,0.006444934964520433,8.0,0.007550543613036271
9.0,0.0011336659280062884,9.0,0.0018422384668809078,9.0,0.0018032050742331116,9.0,0.0024642217881341386,9.0,0.0034436398567254892,9.0,0.005899958846197015,9.0,0.0070349922340994814
10.0,0.0005332574922677664,10.0,0.000585631717107509,10.0,0.0007577671129072998,10.0,0.0011892015594478181,10.0,0.0017929202026208655,10.0,0.0036963597590631897,10.0,0.004303875119098894
11.0,0.0003871054388314156,11.0,0.0003649162458358348,11.0,0.00038239173753192447,11.0,0.0006967658621506976,11.0,0.0010411466734021333,11.0,0.002239764550363525,11.0,0.0030900452902097447
12.0,0.0003397047728520586,12.0,0.00034137326223352283,12.0,0.0004279980915494934,12.0,0.000533301730267836,12.0,0.0009128678569084607,12.0,0.002050207639642336,12.0,0.0027441690486445566
13.0,0.0001935527194157078,13.0,0.0001471436475144495,13.0,0.00022803177008784485,13.0,0.0002594993093640428,13.0,0.0005011823528124882,13.0,0.0012957212515744448,13.0,0.0017195922575929624
14.0,6.320088797247602e-05,14.0,0.00010888629916069264,14.0,7.367180264376526e-05,14.0,0.0001900270533138266,14.0,0.000293350781904135,14.0,0.0008791948819634105,14.0,0.0012301447459441117
15.0,7.110099896903551e-05,15.0,6.180033195606879e-05,15.0,5.262271617411804e-05,15.0,0.00011442489231800313,15.0,0.00024561912925532653,15.0,0.0006996146507538629,15.0,0.0010963624260934258
16.0,7.900110996559502e-05,16.0,4.4143094254334854e-05,16.0,4.209817293929443e-05,16.0,6.12990494560731e-05,16.0,0.00017302724085193044,16.0,0.000512551909910584,16.0,0.0007048044167743451
17.0,4.740066597935701e-05,17.0,2.648585655260091e-05,17.0,4.209817293929443e-05,17.0,3.677942967364386e-05,17.0,0.00012529558820312205,17.0,0.0003342187636399915,17.0,0.0006069149144445749
18.0,4.3450610481077256e-05,18.0,3.237160245317889e-05,18.0,3.85899918610199e-05,18.0,3.064952472803655e-05,18.0,8.651362042596522e-05,18.0,0.0002743586865701423,18.0,0.000414398893196027
19.0,2.3700332989678505e-05,19.0,1.4714364751444951e-05,19.0,1.4032724313098146e-05,19.0,2.656292143096501e-05,19.0,4.673724321862489e-05,19.0,0.00020826318480551712,19.0,0.0003165093908662568
20.0,3.160044398623801e-05,20.0,1.765723770173394e-05,20.0,1.4032724313098146e-05,20.0,1.838971483682193e-05,20.0,4.2759605497890856e-05,20.0,0.00013967351316298153,20.0,0.00027735358993434875
21.0,7.900110996559502e-06,21.0,1.4714364751444951e-05,21.0,1.754090539137268e-05,21.0,1.634641318828616e-05,21.0,3.57987394866063e-05,21.0,0.00012720266377342962,21.0,0.00020556795489251733
22.0,1.1850166494839252e-05,23.0,2.94287295028899e-06,22.0,2.806544862619629e-05,22.0,1.021650824267885e-05,22.0,2.7843464045138233e-05,22.0,9.103720054372903e-05,22.0,0.00013704530326167822
