x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
0.0,0.788466831819433,0.0,0.7332588038010062,0.0,0.7101482222424298,0.0,0.6870438545501518,0.0,0.6417794120585943,0.0,0.5607742125404769,0.0,0.5010520127479192
1.0,0.14574731626754747,1.0,0.19318054779206262,1.0,0.21046649086114394,1.0,0.2004133565846412,1.0,0.2093966705969344,1.0,0.2618634088901972,1.0,0.28941180110770753
2.0,0.019680704651802917,2.0,0.018855971678777717,2.0,0.021551332181504047,2.0,0.026125427888652072,2.0,0.03565219129079318,2.0,0.05544598174860171,2.0,0.07846777437420713
3.0,0.021469859620148638,3.0,0.03249487609465251,3.0,0.030826589069746294,3.0,0.046147387457211135,3.0,0.05096025100421671,3.0,0.046850161907565496,3.0,0.04901141743247006
4.0,0.007385998715478484,4.0,0.006670393143283026,4.0,0.008002182413385468,4.0,0.013240328101789059,4.0,0.01794600211834769,4.0,0.019443626729467176,4.0,0.019879946780531576
5.0,0.002614918799889898,5.0,0.0019005030743432085,5.0,0.0025916158952441577,5.0,0.002777239553058193,5.0,0.006235136593457103,5.0,0.009287606711804534,5.0,0.011510257124292211
6.0,0.00541334067345628,6.0,0.008869014346934974,6.0,0.010502864417568428,6.0,0.014855002260543822,6.0,0.020144287455784487,6.0,0.01825139829261113,6.0,0.018193632228719947
7.0,0.0018350307367648408,7.0,0.0017887087758524315,7.0,0.0024097481131217604,7.0,0.0043273267454627656,7.0,0.007634045444553248,7.0,0.008875478363261701,7.0,0.008864754478789566
8.0,0.0013303972841545097,8.0,0.0008570896217626235,8.0,0.0005910702918977903,8.0,0.0014209132597041917,8.0,0.0024980515198145445,8.0,0.004754194877833382,8.0,0.005615891580803861
9.0,0.0017432791999265989,9.0,0.0008943543879262158,9.0,0.0012276075293261798,9.0,0.0018407285409804302,9.0,0.0031175682967285517,9.0,0.00431262879010892,9.0,0.005832482440669575
10.0,0.0010092669052206625,10.0,7.452953232718464e-05,10.0,0.0005910702918977903,10.0,0.0005812826971517147,10.0,0.0014388776754131777,10.0,0.002634677656755961,10.0,0.00278473962684489
11.0,0.0008716395999632994,11.0,0.00026085336314514624,11.0,0.00045466945530599255,11.0,0.00022605438222566686,11.0,0.0006994544255480725,11.0,0.0017073888725345893,11.0,0.002227791701475912
12.0,0.0006422607578676942,12.0,0.0003726476616359232,12.0,0.00022733472765299628,12.0,0.00025834786540076214,12.0,0.0007993764863406542,12.0,0.0018251398292611128,12.0,0.002119496271543055
13.0,0.0002752546105147261,13.0,0.0001863238308179616,13.0,4.546694553059925e-05,13.0,0.00016146741587547633,13.0,0.0004996103039629089,13.0,0.001074477480129526,13.0,0.0010829542993285683
14.0,0.0002752546105147261,14.0,7.452953232718464e-05,16.0,0.00013640083659179777,14.0,0.00025834786540076214,14.0,0.000279781770219229,14.0,0.0007506623491315867,14.0,0.000649772579597141
15.0,0.00013762730525736306,15.0,7.452953232718464e-05,18.0,4.546694553059925e-05,15.0,9.688044952528579e-05,15.0,0.00029976618237774537,15.0,0.0005740359140418016,15.0,0.0009746588693957114
16.0,0.00018350307367648408,19.0,3.726476616359232e-05,19.0,9.09338910611985e-05,16.0,3.229348317509527e-05,16.0,0.00019984412158516356,16.0,0.00036797173977038566,16.0,0.0004950648225502027
17.0,0.0003211303789338471,21.0,7.452953232718464e-05,21.0,4.546694553059925e-05,17.0,3.229348317509527e-05,17.0,7.993764863406544e-05,17.0,0.00025022078304386223,17.0,0.000464123271140815
18.0,0.00013762730525736306,27.0,3.726476616359232e-05,22.0,4.546694553059925e-05,18.0,6.458696635019054e-05,18.0,0.0001398908851096145,18.0,0.00020606417427141595,18.0,0.00029394473838918284
19.0,9.175153683824204e-05,41.0,3.726476616359232e-05,0.0,0.0,19.0,3.229348317509527e-05,19.0,5.995323647554907e-05,19.0,0.0001177509567265234,19.0,0.0002630031869797952
20.0,9.175153683824204e-05,0.0,0.0,0.0,0.0,20.0,3.229348317509527e-05,20.0,1.998441215851636e-05,20.0,8.831321754489255e-05,20.0,0.000185649308456326
21.0,4.587576841912102e-05,0.0,0.0,0.0,0.0,24.0,3.229348317509527e-05,21.0,5.995323647554907e-05,21.0,0.00014718869590815426,21.0,0.00015470775704693834
24.0,4.587576841912102e-05,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.998441215851636e-05,22.0,5.88754783632617e-05,22.0,0.00010829542993285683
25.0,4.587576841912102e-05,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.996882431703272e-05,23.0,7.359434795407713e-05,23.0,9.2824654228163e-05
27.0,4.587576841912102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.4156608772446274e-05,24.0,7.735387852346917e-05
39.0,4.587576841912102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.88754783632617e-05,25.0,7.735387852346917e-05
44.0,4.587576841912102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.4718869590815426e-05,27.0,4.64123271140815e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.88754783632617e-05,28.0,3.094155140938767e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.943773918163085e-05,29.0,1.5470775704693834e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.4718869590815426e-05,32.0,1.5470775704693834e-05
